#e_a	e_pa	nf
1.41E-01	7.56E-02	3.04E+00
7.15E-02	5.14E-02	5.33E+00
3.36E-02	2.50E-02	1.52E+01
3.40E-02	1.70E-02	2.66E+01
2.10E-02	1.03E-02	5.55E+01
1.46E-02	4.55E-03	1.81E+02
5.81E-03	2.36E-03	4.69E+02
9.93E-03	1.52E-03	8.88E+02
5.62E-03	6.55E-04	3.03E+03
4.67E-03	5.18E-04	4.26E+03
4.51E-03	3.07E-04	9.12E+03
4.52E-03	1.32E-04	3.10E+04
4.71E-03	8.99E-05	5.42E+04
3.27E-03	3.85E-05	1.86E+05
1.94E-03	2.42E-05	3.65E+05
3.47E-03	1.36E-05	8.42E+05
2.57E-03	7.66E-06	1.94E+06
2.47E-03	6.18E-06	2.66E+06
2.13E-03	2.31E-06	1.11E+07
