name,2324-T39,2324-T39,A357-T6 (UNCHILLED),A357-T6 (UNCHILLED),"7178-T6,T651","7178-T6,T651",A357-T6 (CHILLED),A357-T6 (CHILLED),"7075-T6,T651","7075-T6,T651",7150-T651,7150-T651,"7079-T6,T651","7079-T6,T651","7075-T73,T7351","7075-T73,T7351","7475-T61,T651","7475-T61,T651","2024-T3,T351/7475,T761,T7651","2024-T3,T351/7475,T761,T7651"
axis,Thickness (in),$K_c (\text{ksi} \sqrt{\text{in}})$,Thickness (in),$K_c (\text{ksi} \sqrt{\text{in}})$,Thickness (in),$K_c (\text{ksi} \sqrt{\text{in}})$,Thickness (in),$K_c (\text{ksi} \sqrt{\text{in}})$,Thickness (in),$K_c (\text{ksi} \sqrt{\text{in}})$,Thickness (in),$K_c (\text{ksi} \sqrt{\text{in}})$,Thickness (in),$K_c (\text{ksi} \sqrt{\text{in}})$,Thickness (in),$K_c (\text{ksi} \sqrt{\text{in}})$,Thickness (in),$K_c (\text{ksi} \sqrt{\text{in}})$,Thickness (in),$K_c (\text{ksi} \sqrt{\text{in}})$
0,-0.005405405,144.6092038,-0.002702703,39.19649379,1.11E-16,41.62162162,1.11E-16,49.45945946,1.11E-16,59.18918919,1.11E-16,64.05405405,1.11E-16,69.18918919,1.11E-16,75.94594595,-0.002702703,108.385683,-0.002702703,136.2235208
1,0.024324324,144.2585829,0.040540541,38.53907962,0.045945946,40.95690285,0.043243243,49.07231556,0.043243243,58.80204529,0.037837838,63.68151936,0.045945946,68.79474069,0.043243243,75.55880205,0.045945946,107.9839299,0.02972973,135.8655953
2,0.059459459,144.1636231,0.086486486,37.60409058,0.091891892,39.75164354,0.091891892,48.13002191,0.089189189,57.59678598,0.081081081,62.75383492,0.089189189,67.86705625,0.089189189,74.89408327,0.1,107.027027,0.075675676,134.9306063
3,0.089189189,143.5427319,0.121621622,36.42804967,0.127027027,38.30533236,0.132432432,46.66910153,0.140540541,55.83637692,0.132432432,60.72315559,0.135135135,66.12125639,0.124324324,73.17750183,0.143243243,106.0993426,0.127027027,133.981008
4,0.118918919,142.9218408,0.162162162,34.69685902,0.162162162,36.85902118,0.17027027,44.40467495,0.186486486,53.82030679,0.189189189,58.40759679,0.175675676,64.11979547,0.159459459,71.73119065,0.189189189,104.8940833,0.172972973,133.046019
5,0.145945946,142.3082542,0.202702703,32.96566837,0.197297297,35.41271001,0.205405405,42.41782323,0.22972973,51.81154127,0.227027027,56.41344047,0.221621622,61.83345508,0.205405405,69.71512053,0.232432432,103.6961286,0.213513514,131.5850986
6,0.172972973,141.4243974,0.235135135,31.5266618,0.237837838,33.95178963,0.237837838,40.43827611,0.27027027,50.08035062,0.275675676,54.11979547,0.264864865,59.82468955,0.245945946,67.98392988,0.281081081,102.2132944,0.251351351,129.8612126
7,0.2,140.2702703,0.264864865,30.09495982,0.278378378,32.49086925,0.275675676,38.4441198,0.310810811,48.34915997,0.324324324,52.09642075,0.310810811,57.53834916,0.291891892,66.23813002,0.32972973,100.7304602,0.291891892,128.1300219
8,0.224324324,139.393718,0.313513514,28.0715851,0.318918919,31.02994887,0.310810811,36.45726808,0.356756757,46.33308985,0.364864865,49.82468955,0.348648649,55.81446311,0.340540541,64.2147553,0.37027027,98.72899927,0.321621622,126.6983199
9,0.245945946,138.7947407,0.354054054,26.61066472,0.372972973,29.26223521,0.351351351,34.45580716,0.397297297,44.6018992,0.402702703,48.37107378,0.381081081,54.37545654,0.394594595,61.63623083,0.408108108,96.73484295,0.351351351,124.7260774
10,0.275675676,137.633309,0.391891892,25.15704894,0.421621622,27.50913075,0.389189189,32.46165084,0.435135135,42.87801315,0.443243243,46.36961286,0.410810811,52.94375457,0.445945946,59.6055515,0.443243243,94.47772096,0.381081081,123.0241052
11,0.3,136.4864865,0.437837838,23.68151936,0.462162162,26.85902118,0.432432432,30.45288532,0.472972973,41.69466764,0.491891892,44.6165084,0.454054054,50.93498904,0.497297297,57.3046019,0.47027027,92.51278305,0.421621622,120.2118335
12,0.32972973,135.0547845,0.486486486,22.19868517,0.502702703,25.93864134,0.467567568,29.27684441,0.516216216,40.22644266,0.535135135,42.87801315,0.491891892,49.48137327,0.543243243,55.55880205,0.502702703,90.26296567,0.456756757,117.6844412
13,0.359459459,133.3528123,0.52972973,21.27100073,0.537837838,25.30314098,0.505405405,27.55295836,0.57027027,38.18845873,0.572972973,41.96493791,0.535135135,47.74287801,0.6,53.51351351,0.535135135,87.74287801,0.489189189,114.8940833
14,0.391891892,131.3732652,0.57027027,20.35062089,0.575675676,24.66033601,0.543243243,26.36961286,0.616216216,36.98319942,0.613513514,40.50401753,0.581081081,45.99707816,0.651351351,51.48283419,0.567567568,85.22279036,0.521621622,112.1037253
15,0.424324324,128.5829072,0.610810811,19.43024105,0.610810811,24.02483565,0.572972973,25.47845142,0.664864865,35.7706355,0.656756757,39.03579255,0.62972973,43.97370343,0.694594595,49.74433893,0.610810811,81.86267348,0.548648649,109.3279766
