name,A357-T6 (UNCHILLED),A357-T6 (UNCHILLED),"7178-T6,T651","7178-T6,T651",A357-T6 (CHILLED),A357-T6 (CHILLED),"7075-T6,T651","7075-T6,T651",7150-T651,7150-T651,"7079-T6,T651","7079-T6,T651","7075-T73,T7351","7075-T73,T7351","7475-T61,T651","7475-T61,T651","7475,T761,T7651","7475,T761,T7651","2024-T3,T351","2024-T3,T351"
axis,Thickness (in),$K_c (\text{ksi} \sqrt{\text{in}})$,Thickness (in),$K_c (\text{ksi} \sqrt{\text{in}})$,Thickness (in),$K_c (\text{ksi} \sqrt{\text{in}})$,Thickness (in),$K_c (\text{ksi} \sqrt{\text{in}})$,Thickness (in),$K_c (\text{ksi} \sqrt{\text{in}})$,Thickness (in),$K_c (\text{ksi} \sqrt{\text{in}})$,Thickness (in),$K_c (\text{ksi} \sqrt{\text{in}})$,Thickness (in),$K_c (\text{ksi} \sqrt{\text{in}})$,Thickness (in),$K_c (\text{ksi} \sqrt{\text{in}})$,Thickness (in),$K_c (\text{ksi} \sqrt{\text{in}})$
0,-0.000761803,28.2483381,-0.001227619,30.46096366,-5.33747E-05,34.88330341,0.002295114,43.72798292,0.001479936,47.60007764,0.002828861,51.19268281,-0.000325101,56.17400165,0.003032656,80.22465913,0.000946189,100.1353777,-0.000771508,138.2944345
1,0.024566937,27.93682372,0.03667815,30.40855937,0.03165122,34.28647678,0.04025911,43.39900044,0.030962201,47.55931874,0.023887622,51.16356931,0.031204813,56.4069096,0.032514921,80.18390024,0.032592557,99.81512931,0.037192489,137.965452
2,0.049895677,27.62530933,0.068324518,30.08831093,0.065403465,33.963317,0.071905478,43.078752,0.058396817,47.24489301,0.061851618,50.83458683,0.06916881,56.07792712,0.06211364,79.58998496,0.062133049,99.49779223,0.077378815,137.0804018
3,0.077330293,27.31088359,0.104182639,29.7622398,0.095002184,33.36940172,0.103610073,42.48192537,0.094313164,46.64224368,0.097767965,50.2319375,0.094555777,55.48983454,0.091654132,79.27264787,0.093837644,98.9009656,0.117506914,136.4719297
4,0.102659032,26.99936921,0.127521956,28.90048037,0.137352613,32.20486195,0.133208792,41.88801009,0.136605367,45.75428211,0.127366684,49.63802222,0.119942743,54.90174196,0.129792809,78.11393081,0.121330487,98.30996167,0.149269737,135.5985249
5,0.128045999,26.41127663,0.167708283,28.01543015,0.164787229,31.89043622,0.160701635,41.29700616,0.178955796,44.58974235,0.154975981,48.4938619,0.151647339,54.30491533,0.157285652,77.52292688,0.14882333,97.71895774,0.183138435,134.7222087
6,0.157644718,25.81736135,0.207894609,27.13037993,0.196550051,31.01703139,0.194512106,40.69726818,0.212824494,43.71342617,0.184632927,47.62336843,0.183410161,53.43151051,0.184894949,76.37876656,0.17432675,96.57770877,0.21706536,133.5693144
7,0.185137561,25.22635742,0.233223349,26.81886554,0.22614877,30.42311611,0.228322578,40.09753021,0.24248144,42.8429327,0.210078121,46.75869766,0.208855354,52.56683973,0.216715998,75.22878354,0.201936047,95.43354845,0.251050512,132.1398418
8,0.212630404,24.63535349,0.264986171,25.94546072,0.260017468,29.54679994,0.262133049,39.49779223,0.276291911,42.24319472,0.237570964,46.16769373,0.24055995,51.9700131,0.250584696,74.35246737,0.231592993,94.56305498,0.285093891,130.4337911
9,0.240181474,23.76777136,0.300902518,25.34281139,0.291838517,28.39681692,0.296001747,38.62147605,0.308054733,41.3697899,0.275709641,45.00897666,0.270216896,51.09951963,0.282405745,73.20248435,0.254990538,93.42471736,0.312703188,129.2896307
10,0.267732544,22.90018924,0.328395361,24.75180746,0.32155369,27.24974526,0.325600466,38.02756077,0.339817555,40.49638507,0.30530836,44.41506138,0.301921491,50.502693,0.314226794,72.05250133,0.280493959,92.28346839,0.342534815,127.5894027
11,0.295283614,22.03260711,0.357935853,24.43447038,0.357644718,25.81736135,0.355199185,37.43364549,0.386379737,39.32602261,0.337071182,43.54165656,0.329414334,49.91168907,0.345989616,71.17909651,0.308161483,90.86272988,0.378800524,125.3272842
12,0.320670581,21.44451453,0.391746324,23.8347324,0.387301664,24.94686787,0.382692028,36.84264156,0.424460187,38.44388374,0.368834005,42.66825173,0.359013053,49.31777379,0.384244747,69.46722306,0.337934883,89.43908001,0.408690378,123.3504779
13,0.346115775,20.57984376,0.423509146,22.96132758,0.41918094,23.52030666,0.408078995,36.25454898,0.454058906,37.84996846,0.4005386,42.07142511,0.390775875,48.44436897,0.41395992,68.32015139,0.369814159,88.0125188,0.434310253,121.6560726
14,0.375830948,19.43277209,0.453049639,22.64399049,0.453107865,22.3674123,0.435571838,35.66354505,0.485821728,36.97656364,0.430195546,41.20093163,0.426750449,47.56514144,0.44151099,67.45256927,0.397481683,86.59178029,0.459988355,119.685089
15,0.409757873,18.27987772,0.484812461,21.77058567,0.486918337,21.76767432,0.46306468,35.07254112,0.517526323,36.37973701,0.461900141,40.604105,0.456407395,46.69464797,0.475437915,66.2996749,0.422985104,85.45053132,0.485724683,117.4375273
16,0.443626571,17.40356155,0.512305304,21.17958174,0.516575283,20.89718084,0.494769276,34.47571449,0.553500898,35.50050949,0.497874715,39.72487748,0.492323742,46.09199864,0.500941336,65.15842593,0.450652627,84.02979281,0.509355136,115.1928769
17,0.47322529,16.80964627,0.539681692,21.14173419,0.550560435,19.46770828,0.518050366,33.89053326,0.587427823,34.34761512,0.527473434,39.1309622,0.524086564,45.21859382,0.536974138,64.00262021,0.473991945,83.16803338,0.535033238,113.2218933
18,0.502882236,15.9391528,0.569222184,20.82439711,0.584370906,18.8679703,0.551919064,33.01421709,0.62334417,33.74496579,0.561342132,38.25464603,0.555907613,44.0686108,0.575171042,62.56732496,0.499495366,82.02678441,0.558663691,110.977243
