name,p/b =1/12,p/b =1/12,p/b =1/6,p/b =1/6,p/b =1/3,p/b =1/3,p/b =2/3,p/b =2/3,p/b =1,p/b =1
axis,a/b,L,a/b,L,a/b,L,a/b,L,a/b,L
0,0.001789676,0.9990731899999999,0.001789676,0.9990731899999992,0.001789676,0.9990731899999997,0.001789676,0.9990731899999998,0.001789676,0.9990731899999999
1,0.02511629,1.0000141670000005,0.053106199,1.0009114740000005,0.067106223,1.0019397900000004,0.053096062,0.9997521490000004,0.043769471,0.9998394880000004
2,0.074111303,1.0030336110000004,0.09978984,1.0062714040000005,0.118463296,1.0084153760000005,0.090432836,1.0028807680000005,0.095085994,1.0016777730000004
3,0.120805081,1.0095528670000005,0.155871034,1.0196592730000005,0.160544467,1.0207749280000005,0.1394684,1.0105375140000004,0.130091121,1.0048282260000005
4,0.16990147,1.0241655650000006,0.214324427,1.0376626080000004,0.218987722,1.0376189380000005,0.165157074,1.0149346320000003,0.165096249,1.0079786800000003
5,0.221339645,1.0399157540000004,0.27754249,1.0672155270000006,0.27750194,1.0625782250000004,0.202544537,1.0238598780000003,0.207147007,1.0168602560000004
6,0.277583041,1.0718528280000004,0.312719957,1.0900745110000005,0.314990779,1.0830967240000005,0.256314359,1.0395882320000005,0.258524356,1.0256544920000004
7,0.326811218,1.1015367560000004,0.352621544,1.1198457790000005,0.361887309,1.1128024870000004,0.319471597,1.0621851980000006,0.300575114,1.0345360680000004
8,0.371457202,1.1405389560000005,0.385528188,1.1496825500000005,0.404100269,1.1402332690000005,0.408378335,1.0961352360000005,0.34731958,1.0468519510000005
9,0.409067692,1.1749693600000004,0.42790335,1.1956625380000006,0.444022131,1.1723231870000004,0.445846899,1.1143350840000004,0.398747617,1.0614428140000005
10,0.451544229,1.2325426010000005,0.460840407,1.2289772850000005,0.483943994,1.2044131050000004,0.502049744,1.1416348570000003,0.464195952,1.0793806450000005
11,0.479970055,1.2832908980000006,0.500934609,1.2807757340000008,0.526217779,1.2387998380000005,0.555920942,1.1689564640000005,0.515664539,1.0986088100000004
12,0.513140277,1.3432701290000006,0.552737736,1.3382616360000006,0.570843487,1.2754833880000007,0.619159281,1.2008280340000004,0.55778626,1.1156056630000004
13,0.588401808,1.4167682380000006,0.59742427,1.3819011380000006,0.629540182,1.3213105320000007,0.670719107,1.2304901270000004,0.627958717,1.1404557760000005
14,0.691622835,1.4876856770000007,0.649085472,1.4231564840000006,0.685864679,1.3625222080000006,0.726921952,1.2577899000000006,0.674774146,1.1608869360000005
15,0.738519365,1.5173914400000006,0.761633089,1.4939865850000007,0.714026927,1.3831280470000007,0.792512214,1.2919582850000007,0.726252871,1.1812744260000005
16,0.776008204,1.5379099390000006,0.822560056,1.5281986400000007,0.770270323,1.4150651210000007,0.839368194,1.3170267460000007,0.768364454,1.1971119540000004
17,0.8322516,1.5698470130000006,0.888150317,1.5623670250000006,0.807779437,1.4379022710000007,0.895591314,1.3466451700000006,0.810486176,1.2141088080000004
18,0.907209002,1.6085653610000006,0.944393713,1.5943040990000006,0.852303769,1.4629925670000006,0.95647773,1.3762199240000006,0.852628172,1.2334243120000004
19,0.954085257,1.6359524730000006,1.019351116,1.6330224470000008,0.896828101,1.4880828630000007,1.010348928,1.4035415310000006,0.899413189,1.2503774960000007
20,1.085204955,1.6973332920000006,1.108338955,1.6762470870000006,0.939000511,1.5108763430000007,1.073566992,1.4330944500000007,0.946238756,1.2719679810000006
21,1.164805378,1.7336893190000007,1.159837954,1.6989532280000006,0.985836215,1.5336261540000007,1.122734344,1.4558224260000006,1.011727642,1.2945431130000007
22,1.225671518,1.760945422000001,1.211357229,1.7239780200000008,1.046722631,1.5632009080000007,1.199982844,1.4898816370000008,1.058543071,1.3149742730000007
