#v (in.)	P (k-lbs.)
0	0
0.0278685	36.15824025
0.0399641	50.44725675
0.0496144	60.97021425
0.0580525	69.4920435
0.0657481	76.708929
0.0729377	82.9841925
0.0797577	88.537185
0.0862983	93.51309
0.0926189	98.014455
0.0987635	102.1166025
0.1047629	105.8776125
0.1106435	109.342695
0.1164229	112.5485625
0.1221176	115.5251625
0.1277408	118.29741
0.1333013	120.8863425
0.1388101	123.309945
0.1442738	125.583645
0.149699	127.72089
0.1550923	129.73356
0.1604581	131.63205
0.1658008	133.4255175
0.1711259	135.1223775
0.1764356	136.7298075
0.1817343	138.2547375
0.1870253	139.703025
0.1923119	141.0803625
0.1975974	142.3917
0.2028829	143.641575
0.2081728	144.83436
0.2134693	145.9739325
0.2187757	147.06384
0.224092	148.107465
0.2294237	149.1079425
0.2347708	150.0680775
0.2401366	150.990675
0.2455244	151.8781275
0.2509353	152.73291
0.2563715	153.5571675
0.2618352	154.3529625
0.2673297	155.122275
0.2728572	155.8670025
0.2784199	156.5887125
0.28402	157.289055
0.2896597	157.96968
0.2953412	158.6319075
0.3010667	159.27714
0.3068395	159.9066975
0.3126618	160.521735


